empresa_id,equipo_id,tipo_equipo,marca,tipo_control,tipo_prot,num_operaciones,curva,pick_up,t_dial,adder,descripcion
18,415483,fusibles,S&C,,T,,10T,10.000,,,
18,416723,fusibles,S&C,,T,,3T,3.000,,,
18,416839,fusibles,S&C,,T,,10T,10.000,,,
18,416976,fusibles,S&C,,T,,10T,10.000,,,
18,416997,fusibles,S&C,,T,,10T,10.000,,,
18,417024,fusibles,S&C,,T,,10T,10.000,,,
18,417141,fusibles,S&C,,T,,10T,10.000,,,
18,417264,fusibles,S&C,,T,,10T,10.000,,,
18,417928,fusibles,S&C,,T,,10T,10.000,,,
18,420814,fusibles,S&C,,T,,10T,10.000,,,
18,421738,fusibles,S&C,,T,,10T,10.000,,,
18,421933,fusibles,S&C,,T,,10T,10.000,,,
18,421971,fusibles,S&C,,T,,10T,10.000,,,
18,422059,fusibles,S&C,,T,,10T,10.000,,,
18,422073,fusibles,S&C,,T,,10T,10.000,,,
18,422074,fusibles,S&C,,T,,10T,10.000,,,
18,422075,fusibles,S&C,,T,,10T,10.000,,,
18,422157,fusibles,S&C,,T,,10T,10.000,,,
18,422642,fusibles,S&C,,T,,10T,10.000,,,
18,422711,fusibles,S&C,,T,,10T,10.000,,,
18,426588,fusibles,S&C,,T,,10T,10.000,,,
18,426592,fusibles,S&C,,T,,10T,10.000,,,
18,426823,fusibles,S&C,,T,,10T,10.000,,,
18,426881,fusibles,S&C,,T,,10T,10.000,,,
18,426971,fusibles,S&C,,T,,10T,10.000,,,
18,427007,fusibles,S&C,,T,,10T,10.000,,,
18,427209,fusibles,S&C,,T,,10T,10.000,,,
18,427552,fusibles,S&C,,T,,10T,10.000,,,
18,428254,fusibles,S&C,,T,,10T,10.000,,,
18,431085,fusibles,S&C,,T,,10T,10.000,,,
18,431435,fusibles,S&C,,T,,10T,10.000,,,
18,431521,fusibles,S&C,,T,,10T,10.000,,,
18,431656,fusibles,S&C,,T,,10T,10.000,,,
18,431715,fusibles,S&C,,T,,10T,10.000,,,
18,431759,fusibles,S&C,,T,,10T,10.000,,,
18,431780,fusibles,S&C,,T,,10T,10.000,,,
18,431816,fusibles,S&C,,T,,10T,10.000,,,
18,431837,fusibles,S&C,,T,,10T,10.000,,,
18,432216,fusibles,S&C,,T,,10T,10.000,,,
18,432498,fusibles,S&C,,T,,10T,10.000,,,
18,433151,fusibles,S&C,,T,,3T,3.000,,,
18,1873750,fusibles,S&C,,T,,10T,10.000,,,
18,2017632,fusibles,S&C,,T,,10T,10.000,,,
18,2018186,fusibles,S&C,,T,,10T,10.000,,,
18,2099824,fusibles,S&C,,T,,10T,10.000,,,
18,2100251,fusibles,S&C,,T,,10T,10.000,,,
18,2186511,fusibles,S&C,,T,,10T,10.000,,,
18,2189006,fusibles,S&C,,T,,10T,10.000,,,
18,2190361,fusibles,S&C,,T,,10T,10.000,,,
18,2193926,fusibles,S&C,,T,,10T,10.000,,,
18,2194156,fusibles,S&C,,T,,10T,10.000,,,
18,2205036,fusibles,S&C,,T,,10T,10.000,,,
18,2242326,fusibles,S&C,,T,,10T,10.000,,,
18,2249768,fusibles,S&C,,T,,10T,10.000,,,
18,4891211,fusibles,S&C,,T,,10T,10.000,,,
18,5248481,fusibles,S&C,,T,,3T,3.000,,,
18,5484065,fusibles,S&C,,T,,1T,1.000,,,
18,5526478,fusibles,S&C,,T,,6T,6.000,,,
18,5910380,fusibles,S&C,,T,,3T,3.000,,,
18,5935020,fusibles,S&C,,T,,8T,8.000,,,
18,5935173,fusibles,S&C,,T,,10T,10.000,,,
18,5935731,fusibles,S&C,,T,,6T,6.000,,,
18,5935849,fusibles,S&C,,T,,6T,6.000,,,
18,5978694,fusibles,S&C,,T,,10T,10.000,,,
18,6083197,fusibles,S&C,,T,,6T,6.000,,,
18,6090052,fusibles,S&C,,T,,6T,6.000,,,
18,8694691,fusibles,S&C,,T,,1T,1.000,,,
18,8756869,fusibles,S&C,,T,,2T,2.000,,,
18,9020752,fusibles,S&C,,T,,10T,10.000,,,
18,9020816,fusibles,S&C,,T,,10T,10.000,,,
18,9024919,fusibles,S&C,,T,,6T,6.000,,,
18,9042674,fusibles,S&C,,T,,15T,15.000,,,
18,9087108,fusibles,S&C,,T,,20T,20.000,,,
18,9200621,fusibles,S&C,,T,,2T,2.000,,,
18,9234459,fusibles,S&C,,T,,2T,2.000,,,
18,9426873,fusibles,S&C,,T,,1T,1.000,,,
18,9508998,fusibles,S&C,,T,,3T,3.000,,,
18,9707682,fusibles,S&C,,T,,2T,2.000,,,
18,9709795,fusibles,S&C,,T,,3T,3.000,,,
18,1716010177,fusibles,S&C,,T,,20T,20.000,,,
18,1716010180,fusibles,S&C,,T,,20T,20.000,,,
18,1716018517,fusibles,S&C,,T,,1T,1.000,,,
18,1716018519,fusibles,S&C,,T,,8T,8.000,,,
18,1716529333,fusibles,S&C,,T,,100T,100.000,,,
18,1716530141,fusibles,S&C,,T,,2T,2.000,,,
18,1716731562,fusibles,S&C,,T,,6T,6.000,,,
18,1716739433,fusibles,S&C,,T,,1T,1.000,,,
18,1716998968,fusibles,S&C,,T,,1T,1.000,,,
18,1717173658,fusibles,S&C,,T,,6T,6.000,,,
18,1717173665,fusibles,S&C,,T,,6T,6.000,,,
